Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
63,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
64,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
65,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
66,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
67,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
68,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
69,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
70,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
71,72,26952,25387,160,35822,14145,4232,26176,0,37218,27320,30,34529,27011,30,35410
72,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
73,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
74,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
75,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
76,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
77,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
78,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
79,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
80,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
81,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
82,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
83,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
84,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
85,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
86,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
87,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
88,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
89,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
90,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
91,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
92,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
93,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
94,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
95,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
96,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
97,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
98,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
99,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
100,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
101,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
102,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
103,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
104,72,26975,25931,246,37467,14056,4448,26228,0,35341,27316,30,34670,27069,160,36085
105,72,26965,26562,246,37594,14046,4318,26645,0,36098,26883,30,35635,27059,30,34821
106,72,27212,27235,246,37689,14036,4448,26237,0,35011,26380,30,35635,27380,160,36133
107,72,27595,27861,30,35009,13897,4232,26173,0,37633,26088,160,36217,27081,30,35824
108,72,27576,27980,30,35009,13848,4232,26156,0,37633,26293,160,36217,26842,30,35824
109,72,27712,28029,30,34982,13742,4277,26045,0,37649,26711,30,35704,26544,160,36391
110,72,26771,28486,246,37792,13710,4537,26046,0,35670,26803,30,34976,27149,160,36426
111,72,26869,28654,30,35835,13754,4399,26040,0,36283,26366,246,37825,27416,30,35063
112,72,26619,28990,30,35835,13754,4399,26122,0,36283,26282,246,37825,27332,30,35063
113,72,26005,29258,30,35093,13716,4444,25974,0,36283,26545,246,37825,27637,30,35796
114,72,26491,29414,160,36388,13732,4366,26503,0,37935,25311,30,34862,27729,30,35849
115,72,26958,29852,30,35178,13672,4452,25711,0,36368,26930,246,37906,26320,30,35845
116,72,26935,31513,30,35572,13744,4583,25312,0,36260,26459,160,36832,27108,246,38260
117,72,27022,32918,30,36518,13663,4453,25749,0,36910,26473,30,35755,25973,246,38468
118,72,26407,34498,30,36518,13622,4453,25709,0,36910,24939,30,35755,26623,246,38468
119,72,25647,36690,30,35888,13781,4368,24884,0,38624,25155,30,36688,26466,160,37275
120,72,25500,36820,30,35888,13767,4368,24930,0,38624,25716,30,36688,25890,160,37275
121,72,27006,32401,30,35851,13922,4453,25135,0,37041,26464,30,36482,27111,246,38518
122,72,26083,32343,160,36984,13800,4367,26133,0,38353,25764,30,36320,27331,30,35650
