Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
282,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
283,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
284,72,27213,25264,160,35822,14145,4232,26528,0,37218,26704,30,34529,27137,30,35410
285,72,27271,25288,160,35822,14145,4232,26778,0,37218,26045,30,34529,27464,30,35410
286,72,27271,25288,160,35822,14145,4232,26778,0,37218,26045,30,34529,27464,30,35410
287,72,27271,25352,160,35822,14081,4232,26778,0,37218,26045,30,34529,27464,30,35410
288,72,27203,25382,160,35822,14083,4232,26833,0,37218,26036,30,34529,27454,30,35410
289,72,27203,25382,160,35822,14083,4232,26833,0,37218,26036,30,34529,27454,30,35410
290,72,27567,25514,160,35822,14071,4232,26486,0,37218,26308,30,34529,27045,30,35410
291,72,27188,25602,160,35822,14071,4232,26730,0,37218,25991,30,34529,27409,30,35410
292,72,27144,26291,30,35974,13993,4209,26686,0,34684,25947,246,37211,27365,160,35784
293,72,27134,27074,160,36192,13941,4209,26676,0,35057,25937,246,37499,27355,30,35596
294,72,27114,27741,246,37695,13928,4087,26656,0,35213,25917,30,36025,27335,160,36107
295,72,27033,28509,246,38214,13918,4393,26342,0,35285,26517,30,35866,26898,160,35895
296,72,27407,30194,30,36465,13902,4698,26561,0,35750,25886,160,36301,26857,246,38029
297,72,27341,31905,246,38638,13827,4698,26504,0,35939,26044,160,36782,26525,30,36525
298,72,27293,33425,246,38400,13712,5041,26447,0,36983,25772,30,36744,26743,30,36530
299,72,27245,35012,30,37094,13636,4721,26399,0,38885,25724,30,37198,26695,160,37033
300,72,26587,36795,160,37783,13636,4794,26810,0,37403,25925,30,37598,26708,246,39319
301,72,26866,38521,30,38326,13636,4445,26408,0,38431,25669,246,39629,27085,30,37660
302,72,26587,40247,30,38720,13636,5001,26810,0,38437,25946,30,38173,26709,246,39910
303,72,27245,41997,160,39216,13636,5475,26408,0,40234,25946,30,38836,26453,30,38144
304,72,26866,43683,246,41002,13674,5893,26810,0,38659,25693,30,39165,26709,160,39152
305,72,26876,45403,160,40067,13700,5740,26162,0,41263,26351,30,39261,26693,30,39074
306,72,26876,47143,30,40396,13700,5483,26764,0,42006,25937,160,39819,26515,30,39451
307,72,26908,48761,160,41038,13710,6298,26783,0,40523,25816,246,41575,26707,30,39687
308,72,26885,50423,30,41157,13710,6147,26285,0,42274,26352,30,40356,26780,160,40721
309,72,27031,50081,30,40549,14093,6361,27121,0,40879,26367,30,41164,27057,246,43103
310,72,27517,51269,160,41340,14116,6991,26760,0,40696,26294,246,43279,26853,30,40939
311,72,27459,52734,30,40999,14059,7190,26702,0,41804,26236,246,43046,26795,30,41252
312,72,27179,53576,30,42182,14129,6934,26579,0,41520,26349,30,41484,27397,246,43395
313,72,27555,53957,160,42399,14070,7875,26742,0,40747,26288,30,41564,26757,246,43220
314,72,27573,54336,30,41950,14030,8064,26760,0,41057,26306,246,43244,26775,160,41901
315,72,27171,54801,160,42390,14069,7876,26760,0,41241,26050,30,41992,27433,246,43221
316,72,27621,54990,30,42189,14145,8340,26529,0,43482,26351,30,41150,27079,160,41774
317,72,27621,54957,160,42425,14145,8907,26584,0,43219,26319,30,41068,27089,30,41316
318,72,27210,54957,30,41655,14145,8742,26584,0,43022,26364,160,41976,27481,30,41566
319,72,27242,54990,246,43610,14145,9436,26785,0,41513,26098,160,41852,27481,30,40766
320,72,27621,54990,30,41713,14145,8894,26785,0,41386,26098,246,43022,27102,30,42032
321,72,27219,54990,246,43480,14145,9339,26808,0,41566,26098,30,41658,27481,30,41004
322,72,27242,54990,246,43327,14145,9070,26529,0,41062,26756,160,41786,27079,30,41932
323,72,27219,54990,246,43586,14145,9042,26529,0,42054,26377,30,40696,27481,160,41799
324,72,26986,54609,160,41817,14145,8936,26753,0,42816,26645,30,41114,27012,30,41687
325,72,27152,54609,30,42163,14145,8622,26552,0,43255,26322,30,40531,27370,160,41799
326,72,27510,54609,246,43685,14145,8593,26718,0,41681,26121,30,41505,27047,30,40992
327,72,26855,54311,30,41658,14145,8388,27109,0,42021,26321,246,42838,26980,30,41122
328,72,27180,52966,160,41183,14103,8911,26473,0,41276,26734,246,42702,27046,30,40866
329,72,27102,52169,160,41183,14087,8427,27082,0,40841,26071,246,42612,26999,30,40883
330,72,27508,51414,30,40927,14055,7642,26736,0,40985,26238,246,42568,26767,160,41032
331,72,27102,51414,30,40892,14093,7322,26704,0,41348,26042,246,42506,27343,160,41066
332,72,27032,50836,30,40777,14044,7027,26634,0,42504,25972,30,40819,27283,160,40894
333,72,27032,49708,160,41101,14044,7243,26634,0,40818,25972,30,39879,27273,246,42058
334,72,27032,47958,160,40387,14044,7243,26634,0,39912,25972,30,40129,27273,246,41678
335,72,27376,46904,30,39409,14028,7113,26322,0,40180,26156,246,41233,26879,30,40036
336,72,27019,45154,246,41246,14028,6966,26942,0,39846,25891,30,39589,26881,30,38574
337,72,26722,43722,246,40820,13974,6736,26508,0,39436,26078,30,39090,27161,30,38389
338,72,26859,42323,246,40426,13969,6502,26195,0,39066,26370,30,38252,26699,160,38605
339,72,26859,40573,30,38900,13969,5327,26195,0,40182,26370,30,37871,26699,160,38605
340,72,26859,38823,30,37756,13969,5275,26195,0,38501,26370,246,39535,26699,30,38154
341,72,26505,38084,246,39687,13927,4944,26273,0,38317,26253,160,37967,26714,30,37277
342,72,26707,36350,160,38067,13927,4928,26684,0,37112,25973,30,37455,26365,246,38880
343,72,27118,34600,30,37527,13927,4676,26404,0,38737,25640,30,36222,26567,160,37314
344,72,26794,33132,246,38685,13953,4318,26361,0,37171,25695,30,36710,27000,30,36357
345,72,26898,32159,160,37119,13959,4448,26429,0,36362,25822,246,38016,27137,30,36895
346,72,26862,31519,30,36925,14005,4232,26429,0,38283,25763,160,36418,27068,30,36008
347,72,26948,30229,246,38101,14017,4318,26285,0,36717,26022,30,36124,27187,30,35734
348,72,26948,28455,160,36419,14017,4448,26479,0,36227,25872,30,34941,27187,246,37359
349,72,26954,27584,30,36157,14031,4448,26521,0,35272,25855,246,36871,27160,160,35793
350,72,26983,26712,246,37388,13999,4448,26979,0,35879,25942,160,35305,26878,30,34909
351,72,26983,26712,246,37388,13999,4448,26979,0,35879,25942,160,35305,26878,30,34909
352,72,27078,25958,160,35822,14047,4232,26645,0,37218,25979,30,34529,27284,30,35410
353,72,27065,25981,160,35822,14047,4232,26632,0,37218,26547,30,34529,26719,30,35410
354,72,27522,25567,160,35822,14101,4232,26742,0,37218,26078,30,34529,26981,30,35410
355,72,27192,25246,160,35822,14145,4232,26607,0,37218,26376,30,34529,27425,30,35410
356,72,27192,25246,160,35822,14145,4232,26607,0,37218,26376,30,34529,27425,30,35410
357,72,27192,25246,160,35822,14145,4232,26607,0,37218,26376,30,34529,27425,30,35410
358,72,27192,25246,160,35822,14145,4232,26607,0,37218,26376,30,34529,27425,30,35410
359,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
360,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
361,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
362,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
363,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
364,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
365,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
366,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
367,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
368,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
369,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
370,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
371,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
372,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
373,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
374,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
375,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
376,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
377,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
378,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
379,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
380,72,27193,25296,160,35822,14094,4232,27203,0,37218,26376,30,34529,26829,30,35410
381,72,27193,25296,160,35822,14094,4232,27203,0,37218,26376,30,34529,26829,30,35410
382,72,27193,25296,160,35822,14094,4232,27203,0,37218,26376,30,34529,26829,30,35410
383,72,27193,25296,160,35822,14094,4232,27203,0,37218,26376,30,34529,26829,30,35410
384,72,27554,25400,160,35822,14094,4232,26793,0,37218,26118,30,34529,27032,30,35410
385,72,26972,25456,160,35632,14105,4585,26774,0,35433,26330,30,34478,27382,246,37327
386,72,27495,25552,160,35632,14047,4585,26590,0,35433,26309,30,34478,27026,246,37327
387,72,27495,25552,160,35632,14047,4585,26590,0,35433,26309,30,34478,27026,246,37327
388,72,27120,26166,246,37452,13998,5073,26571,0,35395,26290,160,35086,27363,30,34938
389,72,27062,26957,30,35464,13978,4870,26697,0,35706,26602,246,36822,26751,30,35491
390,72,26923,27787,160,36825,13968,4768,26374,0,35605,26463,30,34842,26796,246,36707
391,72,26692,28618,160,36967,13938,4683,26530,0,36004,26398,246,36537,26769,30,35190
392,72,26808,30304,246,37525,13892,5013,26454,0,36259,25799,30,35269,27024,160,36651
393,72,26494,31907,30,36439,13844,4514,26340,0,38345,25906,160,36020,27002,30,36395
394,72,26440,33464,246,38091,13820,5008,26245,0,37349,26174,30,36611,26507,30,35897
395,72,26339,35199,30,37449,13806,4862,26140,0,38750,26073,160,36851,26423,30,36288
396,72,26533,36948,160,37611,13786,5268,25984,0,38372,26073,30,37288,26406,30,37411
397,72,26496,38643,30,37991,13857,5959,26538,0,37383,25523,246,38737,26423,160,37846
398,72,26500,40402,30,38898,13861,6040,26168,0,38718,25523,30,37764,26776,160,38030
399,72,26496,42152,246,40065,13836,5783,25988,0,38814,26085,30,38391,26423,30,38233
400,72,26524,43892,30,39018,13833,6597,26538,0,38354,25523,246,39529,26420,160,39668
401,72,26916,45576,246,39868,13796,6637,26186,0,40434,25760,30,38599,26246,30,39248
402,72,27513,44672,160,40835,14034,6462,26783,0,39931,26357,30,39643,26843,30,39551
403,72,27124,46610,246,41728,14054,6809,26563,0,40270,26730,30,39374,26871,30,40077
404,72,27160,48360,30,40858,14047,7307,26546,0,40685,26168,30,39970,27421,160,41102
405,72,27360,50063,30,40675,14106,7181,26525,0,42022,26006,160,41202,26903,30,40103
406,72,27325,50554,30,41371,14116,7440,26555,0,41764,25971,160,40544,26868,30,40490
407,72,26710,51705,30,41484,14082,7608,25858,0,40939,26213,246,41389,27317,160,40901
408,72,26534,52590,246,41472,14099,7865,26093,0,40368,26042,30,40831,26414,160,41672
409,72,26733,52357,246,42687,14140,7710,26445,0,40899,25706,30,39861,26164,160,40824
410,72,26712,52923,246,42382,14142,7690,26478,0,40404,25423,160,41558,26405,30,40485
411,72,26690,53530,246,42498,14171,7885,25880,0,41863,25694,30,40057,26711,30,40679
412,72,26461,53012,246,42574,14168,8585,26244,0,41011,26099,160,40490,26363,30,40123
413,72,27026,51648,30,40678,14141,8764,25899,0,40444,25798,30,40445,26431,30,40702
414,72,26531,50124,0,40810,14174,9559,26220,0,40282,26200,0,39407,26167,0,39358
415,72,26405,49224,0,40556,14168,9513,26185,0,39934,26040,0,38985,26319,0,39353
416,72,26420,49206,0,40697,14168,8730,26185,0,39619,26058,0,39789,26304,0,39506
417,72,26456,49178,0,40594,14174,8879,26541,0,40145,25688,0,39290,26304,0,39433
418,72,26438,49272,0,40443,14178,8567,26104,0,40160,26030,0,39479,26129,0,39502
419,72,26438,49272,0,40260,14178,8722,26104,0,39341,26030,0,39666,26129,0,40162
420,72,26446,49282,0,40482,14174,8992,26460,0,39334,25660,0,39362,26129,0,39981
421,72,26446,49282,0,40016,14174,9261,26460,0,39011,25660,0,39781,26129,0,40082
422,72,26395,49046,0,40391,14174,9054,26074,0,39812,25660,0,39769,26802,0,39125
423,72,26768,49497,0,40785,14140,8724,26462,0,39774,25672,0,40151,26397,0,39502
424,72,26873,49337,0,41056,14129,8577,26090,0,39999,26065,0,39429,26961,0,40394
425,72,26875,48944,0,41155,14119,8460,26655,0,39975,26260,0,40329,26803,0,39737
426,72,27061,47639,0,40103,14075,8163,26703,0,40159,26077,0,39911,27330,0,40549
427,72,27011,46421,0,40770,14039,7952,26483,0,39826,26249,0,39052,27308,0,39911
428,72,27011,44645,0,39945,14065,7432,26483,0,39843,26249,0,38666,27308,0,39875
429,72,27011,43476,30,40423,14113,6920,26483,0,39143,26249,30,39301,27308,30,38943
430,72,27039,43048,160,41606,14113,6734,26511,0,39037,26277,30,38181,27336,30,38986
431,72,27031,43697,160,40733,14027,6601,26663,0,40501,26047,30,38301,27300,30,38849
432,72,27408,43192,160,41330,13980,6386,26674,0,40255,26281,30,38342,26721,30,38163
433,72,27357,41706,160,40938,13920,6386,26623,0,39671,26230,30,37983,26670,30,37748
434,72,27347,40162,160,40352,13759,6379,26605,0,39085,25993,30,37103,26890,30,38057
435,72,27363,38870,160,40014,13427,6096,26621,0,38822,26009,30,36765,26906,30,37719
436,72,27363,37094,160,39544,13453,5941,26621,0,38352,26009,30,36973,26906,30,36856
437,72,27363,35370,160,39053,13427,5430,26621,0,38102,26009,30,36745,26906,30,36586
438,72,27363,33620,160,38444,13427,4929,26621,0,37725,26009,30,36619,26906,30,36449
439,72,27363,31870,160,37918,13427,4764,26621,0,37199,26009,30,36475,26906,30,36060
440,72,27363,30094,160,37407,13453,4232,26621,0,36874,26009,30,35636,26906,30,36517
441,72,27344,28590,160,37058,13754,4232,26602,0,36642,25990,30,35287,26887,30,36168
442,72,27364,28050,160,36832,13492,4232,26622,0,36598,26010,30,35061,26907,30,35942
443,72,27036,27358,160,36794,13688,4232,26668,0,36598,26052,30,34911,27305,30,35792
444,72,27413,26780,160,36770,13852,4232,26671,0,36598,26059,30,34735,26956,30,35616
445,72,27413,26780,160,36770,13852,4232,26671,0,36598,26059,30,34735,26956,30,35616
446,72,27413,26780,160,36770,13852,4232,26671,0,36598,26059,30,34735,26956,30,35616
447,72,27413,26780,160,36770,13852,4232,26671,0,36598,26059,30,34735,26956,30,35616
448,72,27088,26302,160,35995,13586,4232,26720,0,37186,26104,30,34398,27357,30,35566
449,72,27120,25800,160,35822,13794,4232,26752,0,37218,26136,30,34529,27389,30,35410
450,72,27502,25508,160,35822,13994,4232,26798,0,37218,26148,30,34529,27041,30,35410
451,72,27513,25527,160,35822,13876,4232,26808,0,37218,26187,30,34529,27080,30,35410
452,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
453,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
454,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
455,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
456,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
457,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
458,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
459,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
460,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
461,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
462,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
463,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
464,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
465,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
466,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
467,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
468,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
469,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
470,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
471,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
472,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
473,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
474,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
475,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
476,72,27513,25296,160,35822,14142,4232,26805,0,37218,26152,30,34529,27083,30,35410
477,72,27513,25296,160,35822,14142,4232,26805,0,37218,26152,30,34529,27083,30,35410
478,72,27513,25296,160,35822,14142,4232,26805,0,37218,26152,30,34529,27083,30,35410
479,72,27144,25330,160,35822,14122,4232,26579,0,37218,26737,30,34529,27079,30,35410
480,72,27144,25338,160,35822,14114,4232,26579,0,37218,26737,30,34529,27079,30,35410
481,72,27127,25442,160,35822,14105,4232,26556,0,37218,26714,30,34529,27047,30,35410
482,72,26894,25505,160,35822,14094,4232,27142,0,37218,26344,30,34529,27012,30,35410
483,72,26894,25505,160,35822,14094,4232,27142,0,37218,26344,30,34529,27012,30,35410
484,72,26865,26141,160,35955,14066,4232,27113,0,37195,26315,30,35134,26983,30,35187
485,72,26855,26839,160,36097,14021,4232,27103,0,37241,26305,30,34835,26973,30,35911
486,72,26845,27541,160,36913,13976,4232,27093,0,37810,26295,30,34796,26963,30,35182
487,72,26807,28298,160,36434,13966,4232,27055,0,37083,26257,30,35591,26925,30,36188
488,72,26738,29608,160,36692,13935,4232,26986,0,37307,26188,30,35890,26856,30,36410
489,72,26684,30898,160,37443,13886,4232,26932,0,37562,26134,30,36276,26802,30,36043
490,72,26674,32137,160,37167,13864,4232,26922,0,38519,26124,30,36562,26792,30,36253
491,72,26664,33407,160,37667,13806,4232,26912,0,38884,26114,30,36816,26782,30,36306
492,72,26664,35157,160,37814,13806,4232,26912,0,39215,26114,30,36665,26782,30,37729
493,72,26891,36851,160,38520,13806,4232,26552,0,39008,25898,30,37481,27187,30,38164
494,72,26891,38442,160,39512,13760,4232,26552,0,39549,25898,30,38061,27187,30,37596
495,72,26891,39642,160,40042,13724,4232,26552,0,39566,25898,30,37564,27187,30,38710
496,72,27296,41348,160,40195,13747,4232,26337,0,40035,26124,30,38804,26792,30,38598
497,72,27296,43090,160,40608,13755,4232,26337,0,40511,26124,30,38502,26792,30,39761
498,72,26949,44746,160,40157,13775,4232,26946,0,41142,26112,30,39745,26616,30,40088
499,72,26733,46433,160,40676,13775,4232,26957,0,41582,26147,30,40078,26849,30,40546
500,72,26733,48183,160,41921,13775,4232,26957,0,41899,26147,30,39875,26849,30,40937
501,72,26953,48236,160,41973,14100,4232,27177,0,43086,26367,30,40195,27069,30,40636
502,72,26884,49680,160,42279,14069,4232,27108,0,42552,26298,30,41050,27000,30,41146
503,72,26868,50640,160,41839,13953,4232,27539,0,43882,26128,30,40640,27044,30,41799
504,72,26884,51981,160,42533,14056,4232,27108,0,43662,26298,30,41866,27000,30,41254
505,72,27337,52585,160,42662,14281,4232,26715,0,44034,26250,30,41778,26681,30,41363
506,72,27122,53110,160,43757,14092,4232,26527,0,43569,26254,30,41146,27358,30,41979
507,72,27122,52860,160,42882,14056,4232,26527,0,44063,26254,30,41938,27358,30,41282
508,72,26897,51672,160,43046,14078,4232,27121,0,43085,26263,30,41688,26974,30,41174
509,72,26897,51740,160,42789,14068,4232,26659,0,43679,26637,30,40895,27004,30,41630
510,72,26897,51737,160,42484,14071,4232,26659,0,43359,26637,30,41623,27004,30,41527
511,72,26897,51802,160,42823,14081,4232,27121,0,42897,26291,30,41912,27018,30,41566
512,72,26929,50588,160,42608,14114,4232,27153,0,43015,26264,30,41494,26998,30,40917
513,72,27328,50551,160,42778,14142,4232,27168,0,42401,25474,30,40842,26917,30,41547
514,72,27382,50566,160,41873,14158,4232,27085,0,42725,25474,30,41700,26915,30,41270
515,72,27294,50566,160,41990,14102,4232,27113,0,42486,25562,30,41414,26943,30,41678
516,72,27505,48773,160,42397,14102,4232,26728,0,42839,25562,30,40072,27160,30,40510
517,72,26684,48721,160,41178,14119,4232,26473,0,42435,25429,30,40562,26654,30,39893
518,72,26684,46971,160,41196,14119,4232,26473,0,41404,25429,30,39987,26654,30,39731
519,72,26756,45624,160,40990,13729,4232,26534,0,40720,25453,30,39646,26484,30,39212
520,72,26609,45424,160,40699,13718,4232,26271,0,41523,25344,30,38627,26632,30,39137
521,72,26609,44924,160,40060,13718,4232,26271,0,41270,25344,30,38809,26632,30,39347
522,72,26658,44431,160,40555,13721,4232,26473,0,41251,25426,30,38911,26450,30,38430
523,72,26609,44400,160,40362,13693,4232,26363,0,40984,25766,30,38849,26083,30,38707
524,72,26724,44980,160,40397,13621,4239,25942,0,40585,25412,30,38539,26128,30,39267
525,72,26724,46046,160,39787,13561,4239,25942,0,41561,25410,30,38854,26128,30,39590
526,72,26204,45834,160,40546,13570,4232,25872,0,40339,25321,30,38789,26079,30,39194
527,72,26169,44684,160,39410,13561,4232,25763,0,41096,25321,30,38119,26170,30,39031
528,72,26018,43407,160,39863,13493,4232,25834,0,39783,25232,30,37661,25934,30,38599
529,72,26580,42136,160,39863,13680,4232,26061,0,39783,25499,30,37661,25962,30,38599
530,72,26384,41263,160,39294,13128,4232,26020,0,39574,25840,30,37303,25999,30,38451
531,72,26493,39659,160,38098,13025,4232,26020,0,39833,25842,30,36955,25845,30,37986
532,72,26493,37782,160,38382,13028,4232,26022,0,38639,25867,30,37337,25942,30,36764
533,72,26636,37061,160,38382,13698,4232,26195,0,38639,25545,30,37337,25999,30,36764
534,72,26515,36284,160,38382,13904,4232,26955,0,38639,25535,30,37337,25941,30,36764
535,72,26515,36284,160,38382,13904,4232,26955,0,38639,25535,30,37337,25941,30,36764
536,72,26609,35137,160,38382,13878,4232,26797,0,38639,26059,30,37337,26654,30,36764
537,72,26636,33896,160,38216,13966,4232,26826,0,38468,25961,30,36196,26681,30,37074
538,72,26614,32438,160,37048,13806,4232,26937,0,38778,26117,30,35997,26804,30,36881
539,72,26623,31119,160,36913,13922,4232,26939,0,38585,26112,30,36307,26815,30,35713
540,72,26621,29871,160,37089,13919,4232,26887,0,37421,26079,30,36118,26759,30,35496
541,72,26697,28652,160,36275,13997,4232,27078,0,37983,26199,30,35276,26729,30,35806
542,72,26668,27743,160,36155,13952,4232,26945,0,36916,26171,30,35551,26869,30,35714
543,72,26793,26715,160,36465,13971,4232,27054,0,36705,26252,30,35478,26744,30,34869
544,72,26822,25816,160,35822,14054,4232,27093,0,37218,26267,30,34529,26939,30,35410
545,72,26822,25794,160,35822,14054,4232,27098,0,37218,26349,30,34529,26874,30,35410
546,72,26882,25384,160,35822,14138,4232,27274,0,37218,26334,30,34529,26979,30,35410
547,72,26882,25384,160,35822,14138,4232,27274,0,37218,26334,30,34529,26979,30,35410
548,72,26882,25384,160,35822,14138,4232,27274,0,37218,26334,30,34529,26979,30,35410
549,72,26916,25308,160,35822,14138,4232,27192,0,37218,26469,30,34529,26968,30,35410
550,72,26916,25308,160,35822,14138,4232,27192,0,37218,26469,30,34529,26968,30,35410
551,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
552,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
553,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
554,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
555,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
556,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
557,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
558,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
559,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
560,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
561,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
562,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
563,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
564,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
565,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
566,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
567,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
568,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
569,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
570,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
571,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
572,72,27027,25264,160,35822,14145,4232,27182,0,37218,26405,30,34529,26968,30,35410
573,72,27027,25264,160,35822,14145,4232,27182,0,37218,26405,30,34529,26968,30,35410
574,72,27027,25264,160,35822,14145,4232,27182,0,37218,26405,30,34529,26968,30,35410
575,72,27020,25293,160,35822,14122,4232,27197,0,37218,26387,30,34529,26972,30,35410
576,72,26930,25356,160,35822,14112,4232,27176,0,37218,26377,30,34529,27040,30,35410
577,72,26907,25464,160,35822,14112,4232,27177,0,37218,26359,30,34529,26972,30,35410
578,72,26932,25473,160,35822,14110,4232,27199,0,37218,26381,30,34529,26896,30,35410
579,72,26932,25481,160,35822,14102,4232,27199,0,37218,26381,30,34529,26896,30,35410
580,72,26922,26187,160,36386,14054,4429,27189,0,37171,26371,30,34889,26886,30,34954
581,72,26912,26995,160,36051,14044,4188,27179,0,37563,26361,30,35739,26876,30,35046
582,72,26859,27765,160,36477,14034,4222,27126,0,37534,26308,30,35608,26823,30,35294
583,72,26763,28529,160,36809,14011,4222,27030,0,37791,26212,30,35297,26727,30,35373
584,72,26750,30144,160,36792,13956,4025,27017,0,38479,26199,30,35557,26714,30,36147
