period,name,bill,energy_balance,ave_clearing_price,pv_supply,transactions
2021-07-07 10:30:00,H2,0.07728279480881545,,3.967289261232826e-05,,"[[4.077264439761504e-05, 867, H4], [3.8790853021353565e-05, 1081, H3]]"
2021-07-07 10:45:00,H4,-0.029088814089232258,,3.957661780847926e-05,,"[[3.957661780847926e-05, -743, H1], [3.957661780847926e-05, -1478, H2]]"
2021-07-07 10:45:00,H3,-0.04779033092230759,,3.8790853021353565e-05,,"[[3.8790853021353565e-05, -1232, H1], [3.8790853021353565e-05, -1232, H2]]"
2021-07-07 10:45:00,H1,0.07719575795400768,,3.9086459723548195e-05,,"[[3.957661780847926e-05, 743, H4], [3.8790853021353565e-05, 1232, H3]]"
2021-07-07 10:45:00,H2,0.14918457204323993,,4.545538453480802e-05,,"[[7.5e-05, 572, None], [3.957661780847926e-05, 1478, H4], [3.8790853021353565e-05, 1232, H3]]"
2021-07-07 11:00:00,H4,-0.019234236254920923,,3.0512968237481685e-05,,"[[2e-05, -838, None], [3.957661780847926e-05, -486, H1], [3.957661780847926e-05, -486, H2]]"
2021-07-07 11:00:00,H3,-0.044764644386642016,,3.8790853021353565e-05,,"[[2e-05, 0, None], [3.8790853021353565e-05, -1154, H1], [3.8790853021353565e-05, -1154, H2]]"
2021-07-07 11:00:00,H1,0.06399888064156294,,3.902370770827008e-05,,"[[3.957661780847926e-05, 486, H4], [3.8790853021353565e-05, 1154, H3]]"
2021-07-07 11:00:00,H2,0.06399888064156294,,3.902370770827008e-05,,"[[3.957661780847926e-05, 486, H4], [3.8790853021353565e-05, 1154, H3]]"
2021-07-07 11:15:00,H4,-0.02794527704176701,,3.7763887894279744e-05,,"[[3.7763887894279744e-05, -740, H1], [3.7763887894279744e-05, -740, H2]]"
2021-07-07 11:15:00,H3,-0.012490654672875847,,3.8790853021353565e-05,,"[[3.8790853021353565e-05, -322, H1], [3.8790853021353565e-05, -322, H2]]"
2021-07-07 11:15:00,H1,0.04043593171464286,,3.807526526802529e-05,,"[[3.7763887894279744e-05, 740, H4], [3.8790853021353565e-05, 322, H3]]"
2021-07-07 11:15:00,H2,0.04756093171464286,,4.110711470582788e-05,,"[[7.5e-05, 95, None], [3.7763887894279744e-05, 740, H4], [3.8790853021353565e-05, 322, H3]]"
2021-07-07 11:30:00,H4,-0.030928624185415112,,3.7763887894279744e-05,,"[[3.7763887894279744e-05, -819, H1], [3.7763887894279744e-05, -819, H2]]"
2021-07-07 11:30:00,H3,-0.026571734319627192,,3.8790853021353565e-05,,"[[3.8790853021353565e-05, -685, H1], [3.8790853021353565e-05, -685, H2]]"
2021-07-07 11:30:00,H1,0.0575003585050423,,3.82316213464377e-05,,"[[3.7763887894279744e-05, 819, H4], [3.8790853021353565e-05, 685, H3]]"
2021-07-07 11:30:00,H2,0.0715253585050423,,4.229766913367374e-05,,"[[7.5e-05, 187, None], [3.7763887894279744e-05, 819, H4], [3.8790853021353565e-05, 685, H3]]"
2021-07-07 11:45:00,H4,-0.02058131890238246,,3.7763887894279744e-05,,"[[3.7763887894279744e-05, -230, H2], [3.7763887894279744e-05, -775, H1]]"
2021-07-07 11:45:00,H3,-0.014391406470922172,,3.8790853021353565e-05,,"[[3.8790853021353565e-05, -371, H2], [3.8790853021353565e-05, -371, H1]]"
2021-07-07 11:45:00,H2,0.02307710068660651,,3.839783808087606e-05,,"[[3.7763887894279744e-05, 230, H4], [3.8790853021353565e-05, 371, H3]]"
2021-07-07 11:45:00,H1,0.049433419588988975,,4.041980342517496e-05,,"[[7.5e-05, 77, None], [3.7763887894279744e-05, 775, H4], [3.8790853021353565e-05, 371, H3]]"
2021-07-07 12:00:00,H4,-0.0,,3.597826311461211e-05,,"[[2e-05, -174, None], [3.7763887894279744e-05, -1321, H1], [3.7763887894279744e-05, -236, H2], [3.7763887894279744e-05, 0, H3]]"
2021-07-07 12:00:00,H1,0.049886095908343545,,3.7763887894279744e-05,,"[[3.7763887894279744e-05, 1321, H4]]"
2021-07-07 12:00:00,H2,0.00891227754305002,,3.7763887894279744e-05,,"[[3.7763887894279744e-05, 236, H4]]"
2021-07-07 12:00:00,H3,-0.019940000000000003,,2e-05,,"[[2e-05, -997, None], [3.7763887894279744e-05, 0, H4]]"
2021-07-07 12:15:00,H4,-0.01896522880974153,,2.998329050875739e-05,,"[[2e-05, -754, None], [3.7406762938346214e-05, -507, H1], [3.7406762938346214e-05, -507, H2]]"
2021-07-07 12:15:00,H3,-0.024207583550204248,,3.503268241708285e-05,,"[[2e-05, 0, None], [3.503268241708285e-05, -691, H1], [3.503268241708285e-05, -691, H2]]"
2021-07-07 12:15:00,H1,0.04317281235994578,,3.603740597658245e-05,,"[[3.7406762938346214e-05, 507, H4], [3.503268241708285e-05, 691, H3]]"
2021-07-07 12:15:00,H2,0.04317281235994578,,3.603740597658245e-05,,"[[3.7406762938346214e-05, 507, H4], [3.503268241708285e-05, 691, H3]]"
2021-07-07 12:30:00,H4,-0.0,,3.592206845242845e-05,,"[[3.592206845242845e-05, -1464, H2], [3.592206845242845e-05, 0, H1]]"
2021-07-07 12:30:00,H3,-0.0,,3.503268241708285e-05,,"[[3.503268241708285e-05, -974, H2], [3.503268241708285e-05, 0, H1]]"
2021-07-07 12:30:00,H2,0.09368674088859395,,3.701570165491661e-05,,"[[7.5e-05, 93, None], [3.592206845242845e-05, 1464, H4], [3.503268241708285e-05, 974, H3]]"
2021-07-07 12:30:00,H1,0.13485,,7.5e-05,,"[[7.5e-05, 1798, None], [3.592206845242845e-05, 0, H4], [3.503268241708285e-05, 0, H3]]"
2021-07-07 12:45:00,H4,-0.0,,3.592206845242845e-05,,"[[3.592206845242845e-05, -1139, H1], [3.592206845242845e-05, 0, H2]]"
2021-07-07 12:45:00,H3,-0.0,,3.503268241708285e-05,,"[[3.503268241708285e-05, -294, H1], [3.503268241708285e-05, 0, H2]]"
2021-07-07 12:45:00,H1,0.09043984459793837,,4.623713936499917e-05,,"[[7.5e-05, 523, None], [3.592206845242845e-05, 1139, H4], [3.503268241708285e-05, 294, H3]]"
2021-07-07 12:45:00,H2,0.014099999999999998,,7.5e-05,,"[[7.5e-05, 188, None], [3.592206845242845e-05, 0, H4], [3.503268241708285e-05, 0, H3]]"
2021-07-07 13:00:00,H4,-0.03929874288695673,,3.376431678147509e-05,,"[[2e-05, -343, None], [3.592206845242845e-05, -1094, H1], [3.592206845242845e-05, -1094, H2]]"
2021-07-07 13:00:00,H3,-0.03138928344570623,,3.503268241708285e-05,,"[[2e-05, 0, None], [3.503268241708285e-05, -896, H1], [3.503268241708285e-05, -896, H2]]"
2021-07-07 13:00:00,H1,0.07068802633266297,,3.552162127269496e-05,,"[[3.592206845242845e-05, 1094, H4], [3.503268241708285e-05, 896, H3]]"
2021-07-07 13:00:00,H2,0.07068802633266297,,3.552162127269496e-05,,"[[3.592206845242845e-05, 1094, H4], [3.503268241708285e-05, 896, H3]]"
2021-07-07 13:15:00,H4,-0.03666170521613963,,3.3441163558286124e-05,,"[[2e-05, -315, None], [3.549051811823778e-05, -1033, H1], [3.549051811823778e-05, -1033, H2]]"
2021-07-07 13:15:00,H3,-0.028341440075420027,,3.503268241708285e-05,,"[[2e-05, 0, None], [3.503268241708285e-05, -809, H1], [3.503268241708285e-05, -809, H2]]"
2021-07-07 13:15:00,H1,0.06500314529155965,,3.528943826903347e-05,,"[[3.549051811823778e-05, 1033, H4], [3.503268241708285e-05, 809, H3]]"
2021-07-07 13:15:00,H2,0.06500314529155965,,3.528943826903347e-05,,"[[3.549051811823778e-05, 1033, H4], [3.503268241708285e-05, 809, H3]]"
2021-07-07 13:30:00,H4,-0.0008419355329499388,,2.055469047195393e-05,,"[[2e-05, -1257, None], [3.508064720624745e-05, -24, H1], [3.508064720624745e-05, -24, H2]]"
2021-07-07 13:30:00,H3,-0.0024172550867787167,,3.503268241708285e-05,,"[[2e-05, 0, None], [3.503268241708285e-05, -539, H1], [3.503268241708285e-05, -608, H2]]"
2021-07-07 13:30:00,H1,0.019724551355757597,,3.503472709726039e-05,,"[[3.508064720624745e-05, 24, H4], [3.503268241708285e-05, 539, H3]]"
2021-07-07 13:30:00,H2,0.022141806442536313,,3.503450386477265e-05,,"[[3.508064720624745e-05, 24, H4], [3.503268241708285e-05, 608, H3]]"
2021-07-07 13:45:00,H4,-0.0,,3.2175455859388746e-05,,"[[3.2175455859388746e-05, -521, H1], [3.2175455859388746e-05, -101, H2], [3.2175455859388746e-05, 0, H3]]"
2021-07-07 13:45:00,H1,0.016763412502741538,,3.2175455859388746e-05,,"[[3.2175455859388746e-05, 521, H4]]"
2021-07-07 13:45:00,H2,0.005274721041798263,,4.120875813904893e-05,,"[[7.5e-05, 27, None], [3.2175455859388746e-05, 101, H4]]"
2021-07-07 13:45:00,H3,0.012225,,7.5e-05,,"[[7.5e-05, 163, None], [3.2175455859388746e-05, 0, H4]]"
2021-07-07 14:00:00,H4,-0.0012548427785161612,,3.217545585938875e-05,,"[[3.2175455859388746e-05, -345, H2], [3.2175455859388746e-05, -384, H1]]"
2021-07-07 14:00:00,H3,-0.014284680449977204,,4.302614593366628e-05,,"[[4.302614593366628e-05, -332, H2], [4.302614593366628e-05, -332, H1]]"
2021-07-07 14:00:00,H2,0.02538521272146632,,3.749662144972869e-05,,"[[3.2175455859388746e-05, 345, H4], [4.302614593366628e-05, 332, H3]]"
2021-07-07 14:00:00,H1,0.037965055499982484,,4.378899134946077e-05,,"[[7.5e-05, 151, None], [3.2175455859388746e-05, 384, H4], [4.302614593366628e-05, 332, H3]]"
2021-07-07 14:15:00,H4,-0.011486637741801782,,3.2175455859388746e-05,,"[[3.2175455859388746e-05, -357, H2], [3.2175455859388746e-05, -357, H1]]"
2021-07-07 14:15:00,H3,-0.014973098784915866,,4.302614593366628e-05,,"[[4.302614593366628e-05, -348, H2], [4.302614593366628e-05, -348, H1]]"
2021-07-07 14:15:00,H2,0.026459736526717646,,3.7531541172649144e-05,,"[[3.2175455859388746e-05, 357, H4], [4.302614593366628e-05, 348, H3]]"
2021-07-07 14:15:00,H1,0.06058473652671764,,5.2228221143722104e-05,,"[[7.5e-05, 455, None], [3.2175455859388746e-05, 357, H4], [4.302614593366628e-05, 348, H3]]"
2021-07-07 14:30:00,H4,-0.023777661880088282,,3.2175455859388746e-05,,"[[2e-05, 0, None], [3.2175455859388746e-05, -620, H1], [3.2175455859388746e-05, -1359, H2]]"
2021-07-07 14:30:00,H3,-0.0058945819929122805,,2.4225829863244853e-05,,"[[2e-05, -1219, None], [4.302614593366628e-05, -137, H1], [4.302614593366628e-05, -137, H2]]"
2021-07-07 14:30:00,H1,0.025843364625733303,,3.413918708815496e-05,,"[[3.2175455859388746e-05, 620, H4], [4.302614593366628e-05, 137, H3]]"
2021-07-07 14:30:00,H2,0.04962102650582159,,3.3169135364854004e-05,,"[[3.2175455859388746e-05, 1359, H4], [4.302614593366628e-05, 137, H3]]"
2021-07-07 14:45:00,H4,-0.0,,3.0231675932767432e-05,,"[[2e-05, -163, None], [3.2175455859388746e-05, -342, H1], [3.2175455859388746e-05, -516, H2], [3.2175455859388746e-05, 0, H3]]"
2021-07-07 14:45:00,H1,0.011004005903910952,,3.2175455859388746e-05,,"[[3.2175455859388746e-05, 342, H4]]"
2021-07-07 14:45:00,H2,0.016602535223444594,,3.2175455859388746e-05,,"[[3.2175455859388746e-05, 516, H4]]"
2021-07-07 14:45:00,H3,-0.017820000000000003,,2e-05,,"[[2e-05, -891, None], [3.2175455859388746e-05, 0, H4]]"
2021-07-07 15:00:00,H4,-0.0,,2.91221172035724e-05,,"[[2e-05, -196, None], [3.178669987406448e-05, -286, H1], [3.178669987406448e-05, -385, H2], [3.178669987406448e-05, 0, H3]]"
2021-07-07 15:00:00,H1,0.009090996163982441,,3.178669987406448e-05,,"[[3.178669987406448e-05, 286, H4]]"
2021-07-07 15:00:00,H2,0.012237879451514826,,3.178669987406448e-05,,"[[3.178669987406448e-05, 385, H4]]"
2021-07-07 15:00:00,H3,-0.01054,,2e-05,,"[[2e-05, -527, None], [3.178669987406448e-05, 0, H4]]"
2021-07-07 15:15:00,H4,-0.0,,2.978007361687527e-05,,"[[2e-05, -77, None], [3.125378333996607e-05, -223, H1], [3.125378333996607e-05, -288, H2], [3.125378333996607e-05, 0, H3]]"
2021-07-07 15:15:00,H1,0.006969593684812433,,3.125378333996607e-05,,"[[3.125378333996607e-05, 223, H4]]"
2021-07-07 15:15:00,H2,0.009001089601910227,,3.125378333996607e-05,,"[[3.125378333996607e-05, 288, H4]]"
2021-07-07 15:15:00,H3,-0.012520000000000002,,2e-05,,"[[2e-05, -626, None], [3.125378333996607e-05, 0, H4]]"
2021-07-07 15:30:00,H3,-0.0027176453260707644,,2.986423435242598e-05,,"[[2e-05, 0, None], [2.9864234352425982e-05, -414, H1], [2.9864234352425982e-05, -505, H2]]"
2021-07-07 15:30:00,H4,-0.003869880174418489,,2.6698680559503613e-05,,"[[2e-05, -159, None], [3.095904139534791e-05, -125, H1], [3.095904139534791e-05, -125, H2]]"
2021-07-07 15:30:00,H1,0.016233673196322844,,3.0118132089652772e-05,,"[[2.9864234352425982e-05, 414, H3], [3.095904139534791e-05, 125, H4]]"
2021-07-07 15:30:00,H2,0.01895131852239361,,3.008145797205335e-05,,"[[2.9864234352425982e-05, 505, H3], [3.095904139534791e-05, 125, H4]]"
2021-07-07 15:45:00,H3,-0.016843428174768253,,2.6715061164475863e-05,,"[[2e-05, -529, None], [2.9864234352425982e-05, -564, H1], [2.9864234352425982e-05, -564, H2]]"
2021-07-07 15:45:00,H4,-0.010417011352949953,,3.0106969228179055e-05,,"[[2e-05, 0, None], [3.010696922817905e-05, -346, H1], [3.010696922817905e-05, -346, H2]]"
2021-07-07 15:45:00,H1,0.027260439527718207,,2.995652695353649e-05,,"[[2.9864234352425982e-05, 564, H3], [3.010696922817905e-05, 346, H4]]"
2021-07-07 15:45:00,H2,0.027260439527718207,,2.995652695353649e-05,,"[[2.9864234352425982e-05, 564, H3], [3.010696922817905e-05, 346, H4]]"
2021-07-07 16:00:00,H3,-0.000760094392585735,,2.9234399714835956e-05,,"[[2e-05, 0, None], [2.923439971483596e-05, -513, H1], [2.923439971483596e-05, -539, H2]]"
2021-07-07 16:00:00,H4,-0.008008453814695627,,2.9334909078804266e-05,,"[[2e-05, -44, None], [3.010696922817905e-05, -266, H1], [3.010696922817905e-05, -266, H2]]"
2021-07-07 16:00:00,H1,0.023005700868406476,,2.9532350280367748e-05,,"[[2.923439971483596e-05, 513, H3], [3.010696922817905e-05, 266, H4]]"
2021-07-07 16:00:00,H2,0.023765795260992206,,2.9522727032288454e-05,,"[[2.923439971483596e-05, 539, H3], [3.010696922817905e-05, 266, H4]]"
2021-07-07 16:15:00,H3,-0.0,,2.923439971483596e-05,,"[[2.923439971483596e-05, -384, H1], [2.923439971483596e-05, -322, H2], [2.923439971483596e-05, 0, H4]]"
2021-07-07 16:15:00,H1,0.011226009490497008,,2.923439971483596e-05,,"[[2.923439971483596e-05, 384, H3]]"
2021-07-07 16:15:00,H2,0.012713476708177178,,3.473627515895404e-05,,"[[7.5e-05, 44, None], [2.923439971483596e-05, 322, H3]]"
2021-07-07 16:15:00,H4,0.08729999999999999,,7.5e-05,,"[[7.5e-05, 1164, None], [2.923439971483596e-05, 0, H3]]"
2021-07-07 16:30:00,H3,-0.0,,2.923439971483596e-05,,"[[2.923439971483596e-05, -985, H4], [2.923439971483596e-05, 0, H2], [2.923439971483596e-05, 0, H1]]"
2021-07-07 16:30:00,H4,0.03119588371911342,,3.067441860286472e-05,,"[[7.5e-05, 32, None], [2.923439971483596e-05, 985, H3]]"
2021-07-07 16:30:00,H2,0.023849999999999996,,7.5e-05,,"[[7.5e-05, 318, None], [2.923439971483596e-05, 0, H3]]"
2021-07-07 16:30:00,H1,0.0288,,7.5e-05,,"[[7.5e-05, 384, None], [2.923439971483596e-05, 0, H3]]"
2021-07-07 16:45:00,H3,-0.0024264551763313845,,2.9234399714835963e-05,,"[[2.923439971483596e-05, -808, H2], [2.923439971483596e-05, -891, H1]]"
2021-07-07 16:45:00,H4,-0.005968723252398011,,3.7304520327487565e-05,,"[[3.7304520327487565e-05, -160, H2], [3.7304520327487565e-05, -160, H1]]"
2021-07-07 16:45:00,H2,0.029590118221985467,,3.0568303948332096e-05,,"[[2.923439971483596e-05, 808, H3], [3.7304520327487565e-05, 160, H4]]"
2021-07-07 16:45:00,H1,0.04409157339831685,,3.637918597220862e-05,,"[[7.5e-05, 161, None], [2.923439971483596e-05, 891, H3], [3.7304520327487565e-05, 160, H4]]"
2021-07-07 17:00:00,H3,-0.013798636665402573,,2.9234399714835963e-05,,"[[2e-05, 0, None], [2.923439971483596e-05, -460, H1], [2.923439971483596e-05, -932, H2]]"
2021-07-07 17:00:00,H4,-0.002574011902596642,,2.29701788621807e-05,,"[[2e-05, -666, None], [3.7304520327487565e-05, -69, H1], [3.7304520327487565e-05, -69, H2]]"
2021-07-07 17:00:00,H1,0.016021835771421182,,3.0287024142573123e-05,,"[[2.923439971483596e-05, 460, H3], [3.7304520327487565e-05, 69, H4]]"
2021-07-07 17:00:00,H2,0.029820472436823755,,2.9790681755068687e-05,,"[[2.923439971483596e-05, 932, H3], [3.7304520327487565e-05, 69, H4]]"
2021-07-07 17:15:00,H3,-0.007250131129279318,,2.9234399714835963e-05,,"[[2.923439971483596e-05, -412, H1], [2.923439971483596e-05, -660, H2]]"
2021-07-07 17:15:00,H4,-0.007404095187401631,,3.443765203442619e-05,,"[[3.443765203442619e-05, -215, H1], [3.443765203442619e-05, -215, H2]]"
2021-07-07 17:15:00,H1,0.019448667869914046,,3.1018609042925115e-05,,"[[2.923439971483596e-05, 412, H3], [3.443765203442619e-05, 215, H4]]"
2021-07-07 17:15:00,H2,0.035998798999193365,,3.603483383302639e-05,,"[[7.5e-05, 124, None], [2.923439971483596e-05, 660, H3], [3.443765203442619e-05, 215, H4]]"
2021-07-07 17:30:00,H3,-0.0,,2.923439971483596e-05,,"[[2.923439971483596e-05, -561, H2], [2.923439971483596e-05, 0, H1]]"
2021-07-07 17:30:00,H4,-0.0,,3.443765203442619e-05,,"[[3.443765203442619e-05, -231, H2], [3.443765203442619e-05, 0, H1]]"
2021-07-07 17:30:00,H2,0.0912555958599754,,5.4189783764831e-05,,"[[7.5e-05, 892, None], [2.923439971483596e-05, 561, H3], [3.443765203442619e-05, 231, H4]]"
2021-07-07 17:30:00,H1,0.042374999999999996,,7.5e-05,,"[[7.5e-05, 565, None], [2.923439971483596e-05, 0, H3], [3.443765203442619e-05, 0, H4]]"
2021-07-07 17:45:00,H3,-0.0,,2.923439971483596e-05,,"[[2.923439971483596e-05, -106, H1], [2.923439971483596e-05, 0, H2], [2.923439971483596e-05, 0, H4]]"
2021-07-07 17:45:00,H1,0.027923846369772607,,6.389896194455974e-05,,"[[7.5e-05, 331, None], [2.923439971483596e-05, 106, H3]]"
2021-07-07 17:45:00,H2,0.12555,,7.5e-05,,"[[7.5e-05, 1674, None], [2.923439971483596e-05, 0, H3]]"
2021-07-07 17:45:00,H4,0.0009,,7.5e-05,,"[[7.5e-05, 12, None], [2.923439971483596e-05, 0, H3]]"
2021-07-07 18:00:00,H1,0.030674999999999997,,7.5e-05,,"[[7.5e-05, 409, None]]"
2021-07-07 18:00:00,H2,0.033675,,7.5e-05,,"[[7.5e-05, 449, None]]"
2021-07-07 18:00:00,H4,0.015374999999999998,,7.5e-05,,"[[7.5e-05, 205, None]]"
2021-07-07 18:00:00,H3,0.0009,,7.5e-05,,"[[7.5e-05, 12, None]]"
2021-07-07 18:15:00,H3,-0.0,,3.838751977186876e-05,,"[[3.8387519771868765e-05, -104, H1], [3.8387519771868765e-05, 0, H2], [3.8387519771868765e-05, 0, H4]]"
2021-07-07 18:15:00,H1,0.03706730205627435,,6.801339826839331e-05,,"[[7.5e-05, 441, None], [3.8387519771868765e-05, 104, H3]]"
2021-07-07 18:15:00,H2,0.037649999999999996,,7.5e-05,,"[[7.5e-05, 502, None], [3.8387519771868765e-05, 0, H3]]"
2021-07-07 18:15:00,H4,0.033075,,7.500000000000001e-05,,"[[7.5e-05, 441, None], [3.8387519771868765e-05, 0, H3]]"
2021-07-07 18:30:00,H3,-0.0,,3.8387519771868765e-05,,"[[3.8387519771868765e-05, -278, H2], [3.8387519771868765e-05, 0, H1], [3.8387519771868765e-05, 0, H4]]"
2021-07-07 18:30:00,H2,0.037671730496579514,,5.90465995244193e-05,,"[[7.5e-05, 360, None], [3.8387519771868765e-05, 278, H3]]"
2021-07-07 18:30:00,H1,0.038474999999999995,,7.5e-05,,"[[7.5e-05, 513, None], [3.8387519771868765e-05, 0, H3]]"
2021-07-07 18:30:00,H4,0.15719999999999998,,7.5e-05,,"[[7.5e-05, 2096, None], [3.8387519771868765e-05, 0, H3]]"
2021-07-07 18:45:00,H1,0.024374999999999997,,7.5e-05,,"[[7.5e-05, 325, None]]"
2021-07-07 18:45:00,H4,0.11152499999999999,,7.5e-05,,"[[7.5e-05, 1487, None]]"
2021-07-07 18:45:00,H2,0.07844999999999999,,7.5e-05,,"[[7.5e-05, 1046, None]]"
2021-07-07 18:45:00,H3,0.030899999999999997,,7.5e-05,,"[[7.5e-05, 412, None]]"
2021-07-07 19:00:00,H1,0.026699999999999998,,7.5e-05,,"[[7.5e-05, 356, None]]"
2021-07-07 19:00:00,H4,0.028874999999999998,,7.5e-05,,"[[7.5e-05, 385, None]]"
2021-07-07 19:00:00,H2,0.046424999999999994,,7.5e-05,,"[[7.5e-05, 619, None]]"
2021-07-07 19:00:00,H3,0.014924999999999999,,7.5e-05,,"[[7.5e-05, 199, None]]"
2021-07-07 19:15:00,H1,0.026699999999999998,,7.5e-05,,"[[7.5e-05, 356, None]]"
2021-07-07 19:15:00,H4,0.03525,,7.5e-05,,"[[7.5e-05, 470, None]]"
2021-07-07 19:15:00,H2,0.04687499999999999,,7.5e-05,,"[[7.5e-05, 625, None]]"
2021-07-07 19:15:00,H3,0.035475,,7.5e-05,,"[[7.5e-05, 473, None]]"
2021-07-07 19:30:00,H1,0.025424999999999996,,7.5e-05,,"[[7.5e-05, 339, None]]"
2021-07-07 19:30:00,H4,0.022199999999999998,,7.5e-05,,"[[7.5e-05, 296, None]]"
2021-07-07 19:30:00,H2,0.048674999999999996,,7.5e-05,,"[[7.5e-05, 649, None]]"
2021-07-07 19:30:00,H3,0.04094999999999999,,7.5e-05,,"[[7.5e-05, 546, None]]"
2021-07-07 19:45:00,H1,0.033075,,7.500000000000001e-05,,"[[7.5e-05, 441, None]]"
2021-07-07 19:45:00,H4,0.013874999999999998,,7.5e-05,,"[[7.5e-05, 185, None]]"
2021-07-07 19:45:00,H2,0.05175,,7.5e-05,,"[[7.5e-05, 690, None]]"
2021-07-07 19:45:00,H3,0.033075,,7.500000000000001e-05,,"[[7.5e-05, 441, None]]"
2021-07-07 20:00:00,H1,0.019725,,7.5e-05,,"[[7.5e-05, 263, None]]"
2021-07-07 20:00:00,H4,0.012974999999999999,,7.5e-05,,"[[7.5e-05, 173, None]]"
2021-07-07 20:00:00,H2,0.057749999999999996,,7.5e-05,,"[[7.5e-05, 770, None]]"
2021-07-07 20:00:00,H3,0.04567499999999999,,7.5e-05,,"[[7.5e-05, 609, None]]"
2021-07-07 20:15:00,H1,0.018899999999999997,,7.5e-05,,"[[7.5e-05, 252, None]]"
2021-07-07 20:15:00,H4,0.00735,,7.5e-05,,"[[7.5e-05, 98, None]]"
2021-07-07 20:15:00,H2,0.07102499999999999,,7.5e-05,,"[[7.5e-05, 947, None]]"
2021-07-07 20:15:00,H3,0.045375,,7.5e-05,,"[[7.5e-05, 605, None]]"
2021-07-07 20:30:00,H1,0.021224999999999997,,7.5e-05,,"[[7.5e-05, 283, None]]"
2021-07-07 20:30:00,H4,0.013425,,7.5e-05,,"[[7.5e-05, 179, None]]"
2021-07-07 20:30:00,H2,0.0576,,7.5e-05,,"[[7.5e-05, 768, None]]"
2021-07-07 20:30:00,H3,0.05122499999999999,,7.5e-05,,"[[7.5e-05, 683, None]]"
2021-07-07 20:45:00,H1,0.039674999999999995,,7.5e-05,,"[[7.5e-05, 529, None]]"
2021-07-07 20:45:00,H4,0.016499999999999997,,7.5e-05,,"[[7.5e-05, 220, None]]"
2021-07-07 20:45:00,H2,0.06359999999999999,,7.5e-05,,"[[7.5e-05, 848, None]]"
2021-07-07 20:45:00,H3,0.06,,7.5e-05,,"[[7.5e-05, 800, None]]"
2021-07-07 21:00:00,H1,0.04529999999999999,,7.5e-05,,"[[7.5e-05, 604, None]]"
2021-07-07 21:00:00,H4,0.0032249999999999996,,7.5e-05,,"[[7.5e-05, 43, None]]"
2021-07-07 21:00:00,H2,0.058875,,7.5e-05,,"[[7.5e-05, 785, None]]"
2021-07-07 21:00:00,H3,0.04807499999999999,,7.5e-05,,"[[7.5e-05, 641, None]]"
2021-07-07 21:15:00,H1,0.04425,,7.5e-05,,"[[7.5e-05, 590, None]]"
2021-07-07 21:15:00,H4,0.0032249999999999996,,7.5e-05,,"[[7.5e-05, 43, None]]"
2021-07-07 21:15:00,H2,0.09075,,7.5e-05,,"[[7.5e-05, 1210, None]]"
2021-07-07 21:15:00,H3,0.049049999999999996,,7.5e-05,,"[[7.5e-05, 654, None]]"
2021-07-07 21:30:00,H1,0.0414,,7.5e-05,,"[[7.5e-05, 552, None]]"
2021-07-07 21:30:00,H4,0.0032249999999999996,,7.5e-05,,"[[7.5e-05, 43, None]]"
2021-07-07 21:30:00,H2,0.06405,,7.5e-05,,"[[7.5e-05, 854, None]]"
2021-07-07 21:30:00,H3,0.027974999999999996,,7.5e-05,,"[[7.5e-05, 373, None]]"
2021-07-07 21:45:00,H1,0.036524999999999995,,7.5e-05,,"[[7.5e-05, 487, None]]"
