winter_pro1_no_EV,winter_pro2_no_EV,winter_pro3_no_EV,winter_pro4_no_EV,winter_pro5_no_EV
-165.333333333333,-51.3333333333333,-241.333333333333,-51.3333333333333,-187.333333333333
-41,-41,-79,-41,-162
-41,-193,-41,-79,-145.866666666667
-41,-167.666666666667,-41,-231,-154.666666666667
-249,-185.666666666667,-185.666666666667,-236.333333333333,-327.333333333333
-334.333333333333,-144.333333333333,-283.666666666667,-144.333333333333,-167.666666666667
-66.3333333333333,-41,-180.333333333333,-41,-41
-41,-91.6666666666667,-41,-41,-41
-41,-231,-41,-167.666666666667,-61.6666666666667
-92.6666666666667,-130.666666666667,-92.6666666666667,-244.666666666667,-246.666666666667
-348,-196,-234,-196,-303.333333333333
-209,-82.3333333333333,-272.333333333333,-82.3333333333333,-79
-41,-41,-91.6666666666667,-41,-41
-41,-180.333333333333,-41,-66.3333333333333,-41
-41,-180.333333333333,-41,-231,-123.666666666667
-205.333333333333,-154.666666666667,-154.666666666667,-218,-335.333333333333
-365.333333333333,-175.333333333333,-302,-175.333333333333,-190.666666666667
-79,-41,-193,-41,-41
-41,-79,-41,-41,-41
-41,-231,-41,-155,-81
-61.6666666666667,-112.333333333333,-61.6666666666667,-245,-381
-388.666666666667,-265.333333333333,-221.333333333333,-321.333333333333,-534.333333333333
-399.333333333333,-193.333333333333,-748.466666666667,-294.666666666667,-291.666666666667
-241,-194.666666666667,-432.266666666667,-241,-241
-241,-378,-241,-253.666666666667,-174.333333333333
-241,-672.533333333333,-241,-431,-92.6666666666667
-361.666666666667,-469.933333333333,-323.666666666667,-411.8,-322.666666666667
-586,-403.8,-510,-409,-234.333333333333
1303.8,1354.46666666667,1179.4,1341.46666666667,1111.66666666667
1355.26666666667,1339.46666666667,270.2,1352.66666666667,1435.26666666667
1351.8,1174.8,103.8,1263.46666666667,1370.46666666667
1351.8,1301.46666666667,1268.6,1187.46666666667,813
2061.36666666667,2201.03333333333,2185.76666666667,2225.03333333333,2010.1
2101.1,2239.03333333333,2050.63333333333,2282.36666666667,2282.36666666667
2383.96666666667,2372.7,2256.7,2444.36666666667,2545.7
2284.38,2269.36666666667,2332.7,2465.7,2545.7
2815.55,2682.88333333333,2242.48333333333,2317.88333333333,2967.88333333333
2738.55,2822.48333333333,2727.35,2776.55,2719.55
2481.21666666667,2740.21666666667,2532.21666666667,2651.28333333333,2751.55
2760.41666666667,2827.21666666667,2588.55,435.21666666667,2988.55
3055.55,2903.15,3015.55,663.55,3175.55
3049.48333333333,2857.75,3015.55,581.81666666667,3175.55
2376.15,2998.55,2999.55,1486.15,3080.21666666667
315.09508386667,3024.88333333333,2856.68333333333,3061.88333333333,2830.55
-845.273742,1931.55,1560.21666666667,1963.21666666667,2011.21666666667
-537.60707533333,2077.35,1794.30683434667,2097.55,2097.55
299.72625786667,1840.68333333333,1872.7262576,2076.21666666667,2097.55
1885.05959093333,1772.88333333333,1926.05959093333,1886.41172190667,2097.55
1595.24292426667,1702.73333333333,1798.30959094733,1653.18113593333,1635.4
1295.4,1427.2,1611.03596462667,1572.18113593333,1600.73333333333
1492.06666666667,1330.2,1585.93797029333,1596.18113593333,1881.4
1640.4,1430.93333333333,1825.84780262,1656.15824208,1881.4
-185.883333333333,-231.35,-110.235530733333,-253.35,-1.35
-142.384798266667,-160.510585973333,-107.568864066667,-319.35,-53.0166666666667
-421.843444833334,-326.5421974,-125.40769212,-144.683333333333,-346.35
-498.059273033333,-308.9021974,-333.683333333333,-156.35,-131.35
-218.3759397,-280.285530733333,-163.333333333333,-72.6666666666667,-41
-245.3759397,-447.218864066667,-81,-127.305995946667,-41
-204.164035373333,-433.3681316,-81,-858.290408986667,-41
-202.157075733333,-187.333333333333,-136.882494933333,-445.157075733333,-243.333333333333
-575.666666666667,-394.490409066667,-393.490409066667,-545.835646726667,-365.333333333333
-545.933333333333,-444.890409066667,-466.157075733333,-507.921023546667,-41
-362,-396.96202042,-297.810409066667,-393.5521974,-41
-362,-582.709273033333,-244.8237424,-365.60327714,-41
-365.941247466667,-1837.93277412667,-264.656371833333,-1132.29535385333,-61.6666666666667
-457.690409066667,-2944.21886366667,-324.218864066667,-329.8237424,-373.333333333333
-597.8237424,-2968.4620294,-592.218864066667,-416.23766168,-214.666666666667
-294.157075733333,-2828.79883373333,-434.979776113334,-765.57593976,-41
-263.3411415,-1785.02374218667,-300.509273033333,-517.740446886667,-41
-1633.17593988,-455.8237424,-403.27245988,-558.5521974,-57
-2449.17594,-388.890409066667,-392.75506078,-621.538864066667,-199.666666666667
-857.909273113333,-364.90983232,-582.3759397,-489.598332426667,-412.666666666667
-654.042606366667,-391.486331306667,-729.709273033333,-596.477075733333,-278.266666666667
-418.3759397,-265.8237424,-406.509273033333,-373.8237424,-923.870898333333
-407.340446886667,-697.023742346667,-284.3759397,-424.490409066667,-405.3759397
-401.513109446667,-667.39187388,-308.147146646667,-483.157075733333,-405.3759397
-502.042606366667,-334.1759397,-792.71391,-311.490409066667,-706.642606366667
-734.242606366667,-557.693444833334,-703.96202042,-396.788249493333,-498.556275086667
-490.3759397,-465.885530733333,-604.3759397,-414.507817413333,-395.301464933333
-399.858193293333,-456.885530733333,-340.842606366667,-405.3759397,-656.933333333333
-366.206959653333,-577.24175792,-284.3759397,-544.709273033334,-362
-385.138278093333,-730.666666666667,-398.28169432,-544.709273033334,-486.376498986667
-533.469943806667,-444.666666666667,-507.954212293333,-479.9759397,-731.8237424
-1218.97593986,-1590.22757866667,-738.5521974,-552.309273033334,-453.490409066667
-1550.77594,-384.157075733333,-453.709273033333,-919.065953453333,-416.27245988
-1152.07246006,-675.918247646667,-405.3759397,-411.8237424,-430.922606366667
-373.8237424,-907.642606426666,-308.5759397,-563.8237424,-493.6959397
-435.580576746667,-280.434692266667,-696.102313453333,-392.2237424,-605.11694586
-700.4237424,-417.218864066667,-657.8237424,-394.337411093333,-325.138278093333
-454.090409066667,-375.885530733333,-631.74619222,-359.05769212,-41
-373.8237424,-312.431309193333,-399.069943806667,-280.434692266667,-41
-389.075081986667,-442.8237424,-405.3759397,-411.042606366667,-41
-393.5521974,-290.8237424,-805.17593976,-436.3759397,-112.333333333333
-589.1521974,-710.600848446666,-915.17593978,-333.939126546667,-386
-554.218864066667,-439.3759397,-602.557682873333,-407.8237424,-151.333333333333
-165.827838603333,-187.646442768,-199.666666666667,-688.372662500666,-41
-41,-211.88553072,-41,-66.3333333333333,-41
-41,-211.88553072,-41,-231,-41
-91.6666666666667,-62.0347982333333,-41,-104.333333333333,-263
-344.666666666667,-154.666666666667,-281.333333333333,-154.666666666667,-335.333333333333
-213.333333333333,-175.333333333333,-327.333333333333,-175.333333333333,-51.3333333333333
-41,-79,-41,-41,-41
-41,-231,-41,-155,-41
-41,-91.6666666666667,-41,-205.666666666667,-79
-201,-61.6666666666667,-87,-61.6666666666667,-375.666666666667
-335.333333333333,-196,-386,-196,-195
-113.333333333333,-113.333333333333,-176.666666666667,-113.333333333333,-41
-41,-167.666666666667,-41,-53.6666666666667,-41
-41,-193,-41,-231,-41
-79,-41,-41,-117,-219.333333333333
-313.666666666667,-123.666666666667,-237.666666666667,-123.666666666667,-348
-246.666666666667,-196,-360.666666666667,-196,-82.3333333333333
-51.3333333333333,-76.6666666666667,-51.3333333333333,-51.3333333333333,-41
-41,-231,-41,-142.333333333333,-41
-59.6666666666667,-557.466666666667,-41,-327.666666666667,-66.3333333333333
-231.666666666667,-147.666666666667,-80.3333333333333,-560.8,-344.666666666667
-479,-308.333333333333,-461,-305.666666666667,-238.666666666667
-344.333333333333,-344.333333333333,-921.4,-288.333333333333,-91.6666666666667
-241,-355,-241,-219.2,-41
-246.2,-405.666666666667,-241,-522,-41
-212.666666666667,-183.866666666667,-174.333333333333,-528.933333333333,-175.666666666667
-295.666666666667,-105.666666666667,-194,-304.666666666667,-360.666666666667
-272.333333333333,-209,-373.333333333333,-401.933333333333,-113.333333333333
-95.3333333333333,-108,-82.3333333333333,-203.333333333333,-41
1618.15,1429.01666666667,1620.75,1413.95,1583.41666666667
1489.28333333333,1526.08333333333,1587.88333333333,1340.08333333333,1568.08333333333
1299.08333333333,1172.95,1474.41666666667,1369.01666666667,1268.08333333333
1129.41666666667,1376.41666666667,1104.08333333333,1320.41666666667,1235.21666666667
2373.01666666667,2409.41666666667,2284.35,2386.01666666667,1962.79292437333
2490.52216138667,1113.21666666667,2513.41666666667,2552.35,2495.5262576
