summer_pro1_no_EV,summer_pro2_no_EV,summer_pro3_no_EV,summer_pro4_no_EV,summer_pro5_no_EV
308.2,345.266666666667,-930.01014486667,352.2,352.2
249.772421230667,229.2,-308.276811633333,330.2,-569.933333333333
340.37625763,309.866666666667,-380.676811633333,242.2,-996.8
1761.32625763,1760.15,1113.6065217,1765.81666666667,1126.41666666667
1719.99292428867,1193.55,1093.6065217,1731.81666666667,-118.51666666667
1581.41959093533,1659.48333333333,1084.27318836667,1659.48333333333,-479.34450506667
1619.22908789333,1714.48333333333,1240.07318836667,1761.01666666667,1446.53113602333
293.083333333333,-353.909864,-49.9456522,236.083333333333,170.531135933333
329.75,-898.462245,-815.52891166667,258.083333333333,104.531135933333
329.75,-933.262245,-861.52891166667,316.75,207.1978026
-62.187681193333,-1110.52891166667,-943.59557833333,285.816666666667,213.269414026667
1557.0565217,-412.36326533333,823.55102033333,2023.33333333333,2012.93333333333
726.96672594,1650.53333333333,-191.08163266667,2107.66666666667,2124
503.124277,1990.53333333333,866.72108833333,2027,2028.66666666667
600.11094366667,1536.2,976.987755,2132.66666666667,2084.33333333333
1558.594277,1066.55,1798.20442166667,2827.21666666667,3106.75
1894.1316919,2944.41666666667,1603.48442166667,2785.88333333333,2483.01666666667
2465.53985503333,2862.55,2674.75,2961.88333333333,1745.08333333333
2743.38188402667,3033.41666666667,2705.75,2522.75,1981.15
491.44780265,-75.133333333333,329.133333333333,324.2,330.066666666667
482.781135983333,400.133333333333,393.066666666667,307.69016768,-101.333333333333
380.84780261,388,402,292.242924266667,-1923.45697902667
232.2478026,332,254.091575413333,321.118565526667,91.290726966667
117.867949093333,228.316666666667,128.764469266667,286.0740603,127.8740603
322.104762253333,442.783333333333,237.764469266667,444.674060298,239.607393633333
323.0978026,24.583333333333,264.431135933333,560.580056206,414.317225946667
347.4978026,550.55575456,406.548535066667,566.09780265,-361.95
42.43113594,6.011291665333,49.25,142.095787726667,-1412.08333333333
-254.06694586,-1392.51932033333,75.916666666667,23.916666666667,145.916666666667
-158.792606366667,-2644.51932033333,-634.283333333333,-162.68131844,22.25
34.11581814,-2482.24473966667,38.583333333333,-10.3021974,77.916666666667
-448.457075653333,-1364.84557833333,-24.7,-60.98169432,-569.766666666667
28.542924282667,-145.7,-24.7,-68.0759397,-36.7
16.876257612,-70.5,-73.1,-18.875939712,-40.906959653333
-80.343165653333,-150.6491616,-209.966666666667,-134.34462132,-105.2521974
-126.001079786667,-207.107075733333,-246.003333333333,-298.987746453333,-230.3021974
-77.307075733333,-716.373742293334,-112.855995946667,3.84999999999999,76.964469303333
-90.07722222,-180.640409066667,-7.97374239999999,-15.08131844,106.29780265
-103.3259397,-156.640409066667,-319.040408964667,-25.1021974,-552.058424463333
-239.687690213333,-238.307914133333,-77.457075713333,-245.78553073,-1395.36666666667
-1989.51886372,-122.9,-1315.08491443333,-1930.20779009333,-2778.1
-2340.3661076,-136.566666666667,-1160.99344490667,-2844.91107873333,-4635.56666666667
-1928.54260662667,-49.9354928906667,-587.518863923333,-1504.535987,-2811.35899362667
-4026.03864,-129.207075733333,-44.40219735,-2999.01932033333,-1710.34040876533
-2997.01932033333,-305.078687086667,-85.068864033333,-1746.050490316,-2234.273742
-1644.1602206,-518.559273033334,-244.90769212,-77.183333333333,-1471.54040882667
-2827.34777533333,-451.88852868,-247.74450528,-166.21882624,-473.112830293333
-2351.504578,-597.744524573333,-495.583612526667,-969.890408933333,-519.490409066667
-550.485530706667,-508.3759397,-533.029273033333,-2581.35707533333,-1009.77593978
-526.058193293334,-529.709273033334,-1084.01593978,-2585.823742,-1068.44260644667
-658.3759397,-634.27245988,-559.35245988,-2735.17854066667,-527.242606366667
-519.095353753333,-599.709273033333,-1731.988185,-1209.66610747333,-601.3759397
-559.709273033334,-575.7601115,-1707.32151833333,-695.44644278,-609.709273033333
-632.042606366667,-649.042606366667,-1907.4037716,-660.309273033333,-583.814767806667
-898.442606426666,-495.042606366667,-2460.07043826667,-508.042606366667,-505.92722222
-579.842606366667,-596.309273033333,-1603.21107873333,-859.442606426666,-918.909273093333
-682.362606366667,-720.628687086667,-1736.388185,-603.5759397,-949.05435694
-535.3759397,-594.8237424,-1702.65485166667,-616.042606366667,-638.28169432
-576.709273033334,-657.191873933333,-1255.07662021333,-572.7680256,-591.3759397
-649.042606366667,-1273.10927311333,-608.3759397,-649.042606366667,-584.509273033333
-483.642606366667,-571.7759397,-619.999440726667,-631.05158096,-524.709273033333
-505.1759397,-565.642606366667,-1159.87362632,-921.474474753333,-413.3759397
-427.3759397,-450.042606366667,-1459,-645.3759397,-986.72485988
-821.658193353333,-399.65158096,-689.282494933333,-545.5521974,-589.5521974
-517.109273033334,-417.851079786667,-424.157075733333,-564.885530733333,-564.885530733333
-443.111287986667,-284.666666666667,-296.490409066667,-437.218864066667,-433.011904413333
-404.8237424,-215,-182.8237424,-313.034798266667,-130.066666666667
-353.580576746667,-185,-292.8237424,-349.933333333333,-71
-292,-49,-106.674580798,-219.933333333333,-159
-219.4,-49,-49,-49,-56.3333333333333
-114.733333333333,-90.3333333333333,-90.3333333333333,-90.3333333333333,-90.3333333333333
-199.333333333333,-162.666666666667,-162.666666666667,-162.666666666667,-162.666666666667
-151.666666666667,-151.666666666667,-107.666666666667,-63.6666666666667,-49
-49,-85.6666666666667,-129.666666666667,-159,-129.666666666667
-49,-49,-49,-63.6666666666667,-107.666666666667
65.9,65.9,65.9,65.9,65.9
24.5666666666667,24.5666666666667,24.5666666666667,24.5666666666667,24.5666666666667
-143.1,-99.1,-55.1,-47.766666666667,-47.766666666667
21.9,-22.1,-44.1,-7.433333333333,36.5666666666667
103.75,103.75,81.75,37.75,-6.25
103.75,103.75,103.75,103.75,103.75
103.75,103.75,103.75,103.75,103.75
18.416666666667,62.4166666666667,62.4166666666667,62.4166666666667,62.4166666666667
551.65,536.983333333333,580.983333333333,624.983333333333,646.983333333333
760.65,731.316666666667,687.316666666667,650.65,672.65
760.65,760.65,760.65,753.316666666667,709.316666666667
760.65,760.65,760.65,760.65,760.65
1543.35,1543.35,1543.35,1543.35,1543.35
1399.35,1443.35,1487.35,1502.01666666667,1502.01666666667
1393.01666666667,1349.01666666667,1319.68333333333,1349.01666666667,1393.01666666667
1543.35,1543.35,1528.68333333333,1484.68333333333,1440.68333333333
1880.05,1880.05,1880.05,1880.05,1880.05
1880.05,1880.05,1880.05,1880.05,1880.05
1828.71666666667,1872.71666666667,1880.05,1880.05,1880.05
1750.71666666667,1728.71666666667,1765.38333333333,1809.38333333333,1838.71666666667
1870.13333333333,1848.13333333333,1804.13333333333,1760.13333333333,1774.8
1983.8,1983.8,1983.8,1983.8,1939.8
1983.8,1983.8,1983.8,1983.8,1983.8
1983.8,1983.8,1983.8,1983.8,1983.8
2557.2,2041.46666666667,2612.93333333333,2667.2,2667.2
2564.53333333333,150.86666666667,2394.86666666667,2521.86666666667,2581.86666666667
2508.2,2233.66666666667,2358.46666666667,2475.53333333333,2452.13333333333
2587.2,2667.2,2455.2,2624.53333333333,2654.2
3082.15,3143.75,2942.15,3135.48333333333,3141.15
3066.15,3126.48333333333,2966.35,3154.15,3141.15
3061.35,2969.81666666667,2637.28333333333,3117.48333333333,3142.88333333333
2538.19927534667,2815.95,3045.73608069333,3010.15,3010.15
2259.88985503333,1340.76666666667,2645.88113594667,2277.63333333333,2640.76666666667
2376.1565217,1591.1,2759.54780265,2791.1,2791.1
2379.22318836667,2791.1,2759.54780265,2791.1,2791.1
2276.5565217,2717.76666666667,2730.21446930333,2791.1,2791.1
2464.07318840667,3107.55,3048.82564121333,3078.21666666667,3122.21666666667
605.67318866667,3116.08333333333,3132.21666666667,3088.21666666667,3044.21666666667
1382.13985521333,2938.88333333333,3035.48333333333,3059.88333333333,3059.88333333333
2736.47318836667,3013.55897454667,3051.55,3173.55,3173.55
1308.46672594,2529.70055927333,2678.3,2700.63333333333,2504.00340133333
1070.67761033333,2394.79072696667,2582.5,2634.98225354667,1674.887755
1124.82687766667,1894.52406022,2619.16666666667,2460.63248480667,1554.64051193333
1062.45874566667,2267.99072696667,2691.84926753667,2599.79072696667,1059.33067966667
589.54556484,1467.22322183333,1759.29780261333,1678.34072696667,649.03690673333
-754.45927331333,1623.8978026,1879.89780265,1456.85055930667,184.844128018
25.6618149999999,1549.2978026,1843.23113596667,1693.29780265667,13.7407267066701
621.829947,1591.83113593333,1123.517225858,1668.47289385333,1688.40739363333
-35.7026536666701,1099.18608069333,1186.22406027,1058.93333333333,990.863389526667
377.705505466667,1066.26666666667,1170.13248481667,1052.69016768,1048.33534822667
1102.93333333333,993.933333333333,1104.10959094133,970.109590933333,1091.73333333333
1143.26666666667,1200.26666666667,1217.77625763,1200.776257626,1229.6
190.75,159.75,29.326257630667,203.926257616,262.416666666667
266.283333333333,269.75,-73.065828207333,135.259590937333,132.404762253333
165.083333333333,263.43956053,135.9262576,213.766257626,213.833054164
67.416666666667,187.405475420667,94.592924266667,173.891918188667,-348.025939794
-120.716666666667,18.907393625333,-71.540409066667,28.22050304,-13.6259397
-526.85,44.574060294,-1.8737424,124.1262576,-37.959273033333
-165.65,81.240726950667,-82.320744426667,48.792924266667,-123.28766168
22.65549472,-265.12245996,46.816666666667,134.792924288667,-234.340409066667
-163.2521974,62.9940040693333,-900.5,57.47625763,-156.7
-245.2521974,16.142924288667,-2634.3011704,6.44892022733299,-179.833333333333
-481.162029706667,-92.857075733333,-2016.1290092,-588.617746373333,-139.261171933333
-2115.00927325333,-102.35158096,-584.576252346666,-231.5237424,-49.377857898667
-1973.70158099333,-1750.29260664667,-502.436084666667,-336.582166906667,-1916.15927325333
-663.47374232,-1435.40008966667,-548.902751333333,-418.359273033333,-2352.42593998
-334.248833573333,-1366.50485166667,-708.769418,-464.2259397,-362.559273033333
-357.272941753333,-1489.17151833333,-818.94975336,-1029.95519528667,-430.4259397
-611.042606366667,-1686.25485166667,-984.919418,-609.885530733333,-542.042606366667
-787.17593976,-1512.32151833333,-910.586084666666,-600.64644278,-516.33277406
-424.709273033333,-1448.988185,-864.719418,-513.16898006,-630.6959397
-545.43766168,-1518.32151833333,-793.852751333333,-495.3759397,-454.309273033334
-533.65158096,-1485.21403531333,-677.1838553,-522.042606366667,-1134.70927313333
-653.309273033333,-514.9759397,-452.344524573333,-576.709273033334,-2982.09535386667
-591.3759397,-744.3759397,-702.109273033333,-1254.17593978,-1053.97593976
-540.242606366667,-514.3411415,-524.3759397,-1150.04644276667,-645.3759397
-537.9759397,-503.8237424,-535.3759397,-542.06550024,-542.709273033334
-518.54810114,-547.9837424,-535.3759397,-1073.02868712,-535.3759397
-569.939126546667,-492.6805436,-935.17593976,-651.842606366667,-437.7759397
-679.3759397,-545.5521974,-635.3759397,-591.3759397,-549.044252786667
-624.642606366667,-556.615027653333,-632.109273033333,-759.042606366667,-713.67857108
-530.64644278,-413.3759397,-457.12722222,-528.750983053333,-574.940446886667
-535.3759397,-413.3759397,-503.8237424,-370,-535.3759397
-535.3759397,-409.16898006,-503.8237424,-395.24175792,-535.3759397
-611.777954653333,-425.090409066667,-508.00407776,-511.9521974,-470.309273033334
-451.157075733333,-382.2745808,-530.266666666667,-451.685530733333,-458.800848526667
-294.702159573333,-162.666666666667,-184.666666666667,-260.218864053333,-389.357075733333
-170,-49,-49,-80.55219735,-56.094245422
-170,-49,-49,-80.55219735,-49
-214,-49,-49,-49,-49
-241.133333333333,-159,-115,-71,-49
-90.3333333333333,-119.666666666667,-163.666666666667,-200.333333333333,-178.333333333333
-162.666666666667,-162.666666666667,-162.666666666667,-170,-214
-49,-49,-49,-49,-49
-49,-49,-49,-49,-49
-151.666666666667,-107.666666666667,-63.6666666666667,-49,-49
26.9333333333333,-17.066666666667,-46.4,-17.066666666667,26.9333333333333
22.2666666666667,22.2666666666667,7.59999999999999,-36.4,-80.4
-50.066666666667,-50.066666666667,-50.066666666667,-50.066666666667,-50.066666666667
63.6,63.6,63.6,63.6,63.6
80.966666666667,124.966666666667,132.3,132.3,132.3
44.3,22.3,58.966666666667,102.966666666667,132.3
132.3,110.3,66.3,22.3,36.966666666667
90.9666666666667,90.9666666666667,90.9666666666667,90.9666666666667,46.966666666667
719.583333333333,719.583333333333,719.583333333333,719.583333333333,719.583333333333
833.25,833.25,833.25,833.25,833.25
723.25,767.25,811.25,833.25,833.25
803.916666666667,759.916666666667,723.25,745.25,789.25
1729.45,1729.45,1722.11666666667,1678.11666666667,1634.11666666667
1688.11666666667,1688.11666666667,1688.11666666667,1688.11666666667,1688.11666666667
1615.78333333333,1615.78333333333,1615.78333333333,1615.78333333333,1615.78333333333
1670.78333333333,1714.78333333333,1729.45,1729.45,1729.45
2408.78333333333,2379.45,2408.78333333333,2452.78333333333,2489.45
2489.45,2474.78333333333,2430.78333333333,2386.78333333333,2386.78333333333
2489.45,2489.45,2489.45,2489.45,2452.78333333333
2448.11666666667,2448.11666666667,2448.11666666667,2448.11666666667,2448.11666666667
2871.7,2879.03333333333,2879.03333333333,2879.03333333333,2879.03333333333
2882.7,2919.36666666667,2963.36666666667,2992.7,2992.7
2970.7,2926.7,2882.7,2897.36666666667,2936.03333333333
2992.7,2955.36666666667,2992.7,2948.7,2864.7
3100.46666666667,3084.2,2740.4,3140.2,3054.03882805333
3045.86666666667,3018.86666666667,3097.13333333333,2914.93333333333,2960.6478026
2934.2,2953.86666666667,3013.53333333333,2677.2,2486.31446932
3053.86666666667,3030.2,3039.2,2975.2,765.98113633333
3530.45,3536.11666666667,3479.11666666667,3327.11666666667,1528.96446958667
2615.25,3543.45,3530.45,3422.45,3322.66794909333
2278.2430404,2918.12208586867,3530.45,3415.35575456,3357.45
3189.983892632,2690.29292444467,3498.65,3390.29292426667,3148.65
3352.65739363333,880.476258,3463.3,3481.20959094133,1356.7
3561.65739360733,3415.87625764067,3504.03333333333,3492.20959093533,2601.23333333333
2936.59072686467,3607.87625763,3604.59652017667,3558.20959095333,3381.7
1337.25739335133,3076.38609004467,3575.14780265,3567.975251526,3499.7
3395.241806714,3433.1,3367.6144693,1149.87333333333,3272.43333333333
3281.68113595,3362.43333333333,3185.21446926667,3071.9,3157.76666666667
3151.9478026,3201.36666666667,3017.5478026,3146.1,2760.96666666667
1997.55476244,3312.1,2847.42637368,3223.1,3104.3
928.33333333333,2781.4,2767.4,2780.4,2637.4
2239.53333333333,2770.36450709333,2777.8,2692.08,2667.53333333333
2352.03673466667,2769.5762576,2873.23186843333,2763.8,2781.4
1441.73283886667,2728.9762576,2425.51446933667,2721.54892021333,1699.13333333333
848.214013,1931.95959093333,1637.49780262667,1873.55959093333,-840.48333333333
966.614013,2057.2262576,1886.16446926667,2067.89292426667,797.11666666667
1368.95550946533,2081.2262576,1342.43113604,2071.74072696667,2013.81450709333
2153.69292428067,2080.95959093333,963.15549474667,2151.274060282,1568.60721012
1238.60959093333,1162.72959093333,175.2512828,1423.300559254,195.79734633333
1149.54292426667,1092.26225354667,-101.45219708,1260.34780262,116.93965393333
-1155.45707536,1186.91558688,-837.91886372,1117.21446926667,-592.82151833333
717.47625768,1300.39072696667,1198.61446926667,1322.06520173333,-2091.1586878
295.961750506667,469.3740603,292.922161386667,430.75,-319.72464632
451.420503044,469.3740603,267.950559273333,406.55,-146.86886396
430.9262576,374.040726966667,337.040726966667,292.957672746667,441.588828053333
83.792924364667,94.166856433333,259.040726966667,146.592924266667,425.632253546667
-49.790409066667,-402.510144966667,-175.6759397,-297.928687086667,-75.790409058667
63.8762576,-288.8434783,-184.9959397,-138.142606366667,103.87625763
18.8776654,-288.8434783,-48.191729313333,-48.6759397,-9.05707573133301
-43.8521974,-332.8434783,-26.633333333333,68.1202238906667,-17.1237424
-178.85327714,-566.526811633333,-470.05,-153.00219738,-190.967746453333
-207.159273033333,-1193.06014488667,-2279.057914,-1051.09377278667,-362.783333333333
-488.22593972,-397.45637838,-2049.97722187333,-1236.7604394,-950.513331526667
-2684.72246013333,-1912.4885286,-157.492606366667,-437.625939806,-2479.95927329333
-1216.10927315333,-1446.57593984,-145.3759397,-255.642606366667,-445.7759397
-560.642606366667,-571.042606366667,-268.442606366667,-488.309273033334,-338.042606366667
-468.3759397,-493.7759397,-1468.03859644667,-2378.70927329333,-446.266107393333
-493.442606366667,-524.998833573333,-1569.90265366667,-1627.67246002,-297.872565886667
-548.842606366667,-553.227578773333,-3278.988185,-529.85158096,-447.042606366667
-508.3759397,-371.91391008,-5022.67662033333,-358.3759397,-357.3759397
-998.111288046666,-446.157075733333,-1628.24260652667,-317.9759397,-386.709273033333
-591.95070204,-415.125207266667,-455.709273033333,-521.842606366667,-564.709273033334
-407.28169432,-426.7759397,-441.442606366667,-614.3759397,-1310.92102364667
-521.007113573333,-736.642606386667,-607.598833573333,-585.7680256,-572.7680256
-879.042606426666,-3048.04260666667,-649.042606366667,-747.762606426667,-1318.99603408
-555.1759397,-1206.72260644667,-535.3759397,-535.3759397,-1661.78122526667
-630.709273033333,-746.6959397,-601.3759397,-415.502313393333,-1665.988185
-535.3759397,-577.709273033334,-608.709273033333,-547.7759397,-1753.988185
-535.3759397,-548.3759397,-535.3759397,-538.7680256,-812.831722093333
-580.171862013333,-522.042606366667,-576.709273033334,-575.921023546667,-1099.52869626667
-661.25435688,-527.042606366667,-624.842606366667,-640.628687086667,-637.218864066667
-634.909273033333,-1005.10927311333,-509.709273033333,-503.8237424,-923.35219732
-464.042606366667,-389.1759397,-638.28169432,-584.490409066667,-560.218864066667
-423.042606366667,-930.407460793333,-538.218864066667,-521.8237424,-618.1521974
-359.269943806667,-370,-459.27378022,-294.851079786667,-402.5521974
-345.043772813333,-411.333333333333,-448.398833573333,-290.333333333333,-459.7521974
-335,-291,-206.042606374667,-162.666666666667,-292.080585973333
-258,-280,-165.709273043333,-78.3333333333333,-170
-170,-87.1333333333334,-158.375939712,-159,-265.333333333333
-170,-49,-88.168980082,-49,-214
-170,-49,-51.364748474,-49,-89.3333333333333
-122.6,-90.3333333333333,-90.3333333333333,-90.3333333333333,-90.3333333333333
-272.666666666667,-228.666666666667,-184.666666666667,-162.666666666667,-162.666666666667
-78.3333333333333,-122.333333333333,-159,-137,-93
-49,-49,-56.3333333333333,-100.333333333333,-144.333333333333
-49,-49,-49,-49,-49
57.4,57.4,57.4,57.4,57.4
-42.6,1.40000000000001,16.0666666666667,16.0666666666667,16.0666666666667
-136.933333333333,-166.266666666667,-136.933333333333,-92.933333333333,-56.266666666667
57.4,42.7333333333333,-1.26666666666699,-45.266666666667,-45.266666666667
105.3,105.3,105.3,105.3,68.6333333333333
105.3,105.3,105.3,105.3,105.3
